Compound_ID,DrugBank,IUPHAR,KEGG,Protein_ID,UniProt_ID
33255,True,,,P27169,PON1_HUMAN
23978,True,,,P27169,PON1_HUMAN
23994,True,,,P27169,PON1_HUMAN
DB14487,True,,,P27169,PON1_HUMAN
DB14533,True,,,P27169,PON1_HUMAN
33255,True,,,P60568,IL2_HUMAN
7028,True,,,P60568,IL2_HUMAN
DB06083,True,,,P60568,IL2_HUMAN
656989,True,,,P60568,IL2_HUMAN
5288251,True,,,P60568,IL2_HUMAN
447329,True,,,P60568,IL2_HUMAN
5288250,True,,,P60568,IL2_HUMAN
447066,True,,,P60568,IL2_HUMAN
447945,True,,,P60568,IL2_HUMAN
5496715,True,,,P60568,IL2_HUMAN
33255,True,,,P40933,IL15_HUMAN
6869,True,,,P46059,S15A1_HUMAN
39912,True,,,P46059,S15A1_HUMAN
6249,True,,,P46059,S15A1_HUMAN
5742673,True,,,P46059,S15A1_HUMAN
6196,True,,,P46059,S15A1_HUMAN
5479530,True,,,P46059,S15A1_HUMAN
243,True,,,P46059,S15A1_HUMAN
5904,True,,,P46059,S15A1_HUMAN
65526,,True,,P46059,S15A1_HUMAN
73755094,,True,,P46059,S15A1_HUMAN
24971238,,True,,P46059,S15A1_HUMAN
73755101,,True,,P46059,S15A1_HUMAN
93131,,True,,P46059,S15A1_HUMAN
1051,True,,,P19113,DCHS_HUMAN
6274,True,,,P19113,DCHS_HUMAN
10428412,,True,,P19113,DCHS_HUMAN
107653,,True,,P19113,DCHS_HUMAN
72145,,,True,P19113,DCHS_HUMAN
11151,,,True,P19113,DCHS_HUMAN
1051,True,,,P06737,PYGL_HUMAN
6083,True,,,P06737,PYGL_HUMAN
445383,True,,,P06737,PYGL_HUMAN
445382,True,,,P06737,PYGL_HUMAN
64689,True,,,P06737,PYGL_HUMAN
46936633,True,,,P06737,PYGL_HUMAN
5287969,True,,,P06737,PYGL_HUMAN
445459,True,,,P06737,PYGL_HUMAN
68841,True,,,P06737,PYGL_HUMAN
24883477,True,,,P06737,PYGL_HUMAN
16070039,True,,,P06737,PYGL_HUMAN
12148754,True,,,P06737,PYGL_HUMAN
9547901,True,,,P06737,PYGL_HUMAN
