Compound_ID,Protein_ID,Label
33255,P27169,1
23978,P27169,1
23994,P27169,1
DB14487,P27169,1
DB14533,P27169,1
33255,P60568,1
7028,P60568,1
DB06083,P60568,1
656989,P60568,1
5288251,P60568,1
447329,P60568,1
5288250,P60568,1
447066,P60568,1
447945,P60568,1
5496715,P60568,1
33255,P40933,1
6869,P46059,1
39912,P46059,1
6249,P46059,1
5742673,P46059,1
6196,P46059,1
5479530,P46059,1
243,P46059,1
5904,P46059,1
65526,P46059,1
73755094,P46059,1
24971238,P46059,1
73755101,P46059,1
93131,P46059,1
1051,P19113,1
6274,P19113,1
10428412,P19113,1
107653,P19113,1
72145,P19113,1
11151,P19113,1
1051,P06737,1
6083,P06737,1
445383,P06737,1
445382,P06737,1
64689,P06737,1
46936633,P06737,1
5287969,P06737,1
445459,P06737,1
68841,P06737,1
24883477,P06737,1
16070039,P06737,1
12148754,P06737,1
9547901,P06737,1
1175,P06737,1
6451325,P06737,1
1051,Q9Y600,1
5862,Q9Y600,1
1051,Q9BYV1,1
1060,Q9BYV1,1
750,Q9BYV1,1
5950,Q9BYV1,1
1051,Q9Y697,1
5862,Q9Y697,1
5950,Q9Y697,1
1051,P20132,1
5951,P20132,1
1051,Q9NVS9,1
643976,Q9NVS9,1
1567,Q9NVS9,1
1051,P80404,1
1060,P80404,1
5950,P80404,1
33032,P80404,1
3675,P80404,1
5288385,P80404,1
5289553,P80404,1
3121,P80404,1
5665,P80404,1
16036927,P80404,1
9794014,P80404,1
16760703,P80404,1
86480,P80404,1
23663956,P80404,1
1051,Q16773,1
1053,Q16773,1
71567,Q16773,1
10062732,Q16773,1
802,Q16773,1
1051,Q96GD0,1
1051,P34897,1
750,P34897,1
91443,P34897,1
DB11638,P34897,1
1051,P21549,1
750,P21549,1
5950,P21549,1
5951,P21549,1
10062732,P21549,1
286,P21549,1
6420149,P21549,1
1051,P35520,1
5862,P35520,1
5951,P35520,1
286,P35520,1
34755,P35520,1
1051,P34896,1
750,P34896,1
91443,P34896,1
440473,P34896,1
6323515,P34896,1
6323516,P34896,1
445062,P34896,1
1051,Q99259,1
33032,Q99259,1
3121,Q99259,1
167529,Q99259,1
16760703,Q99259,1
86480,Q99259,1
23663956,Q99259,1
1051,P00505,1
33032,P00505,1
5960,P00505,1
447742,P00505,1
1051,Q9GZT4,1
5951,Q9GZT4,1
1051,Q16719,1
5950,Q16719,1
450268,Q16719,1
1051,P11926,1
10062732,P11926,1
445062,P11926,1
1045,P11926,1
1103,P11926,1
1055,P11926,1
6992039,P11926,1
123865,P11926,1
65020,P11926,1
441361,P11926,1
3009,P11926,1
1051,P13196,1
750,P13196,1
1051,P04181,1
6262,P04181,1
7419,P04181,1
441443,P04181,1
1051,O15269,1
5951,O15269,1
1051,Q96A70,1
6322,Q96A70,1
1051,Q8IYQ7,1
6288,Q8IYQ7,1
1051,P54687,1
33032,P54687,1
6106,P54687,1
6287,P54687,1
6306,P54687,1
6914573,P54687,1
1051,O75600,1
750,O75600,1
1051,P17174,1
5862,P17174,1
33032,P17174,1
5960,P17174,1
23978,P17174,1
444266,P17174,1
1051,Q9Y617,1
33032,Q9Y617,1
1051,P23378,1
750,P23378,1
1051,O15270,1
5951,O15270,1
6438394,O15270,1
1051,P24298,1
5950,P24298,1
33032,P24298,1
3675,P24298,1
1051,P17735,1
33032,P17735,1
6140,P17735,1
6057,P17735,1
1051,O15382,1
33032,O15382,1
1053,O15382,1
6106,O15382,1
6306,O15382,1
92282619,O15382,1
49,O15382,1
118797287,O15382,1
121231397,O15382,1
1051,Q8N5Z0,1
33032,Q8N5Z0,1
1051,O95470,1
73729049,O95470,1
136034475,O95470,1
1051,P32929,1
5862,P32929,1
286,P32929,1
5288538,P32929,1
446195,P32929,1
175496,P32929,1
6436272,P32929,1
439742,P32929,1
185909,P32929,1
1051,O95954,1
33032,O95954,1
91443,O95954,1
135548,O95954,1
1051,P22557,1
750,P22557,1
1051,P11217,1
445382,P11217,1
64689,P11217,1
5287969,P11217,1
68841,P11217,1
10062732,P11217,1
8582,P11217,1
439284,P11217,1
11776755,P11217,1
445717,P11217,1
65241,P11217,1
445718,P11217,1
445245,P11217,1
5288641,P11217,1
46936435,P11217,1
447771,P11217,1
445825,P11217,1
65533,P11217,1
4369162,P11217,1
657141,P11217,1
49867153,P11217,1
446801,P11217,1
22298966,P11217,1
131704237,P11217,1
657043,P11217,1
444746,P11217,1
656959,P11217,1
445720,P11217,1
445722,P11217,1
5288395,P11217,1
444456,P11217,1
657140,P11217,1
1478,P11217,1
124823,P11217,1
446600,P11217,1
445723,P11217,1
5326884,P11217,1
5326885,P11217,1
5326886,P11217,1
5326887,P11217,1
15991546,P11217,1
15991547,P11217,1
11987874,P11217,1
46937093,P11217,1
9860102,P11217,1
11840955,P11217,1
44263483,P11217,1
11669698,P11217,1
46937156,P11217,1
46937157,P11217,1
6451325,P11217,1
1051,O94903,1
145742,O94903,1
1051,P11216,1
5287969,P11216,1
6451325,P11216,1
1051,P20711,1
1663,P20711,1
38853,P20711,1
34359,P20711,1
26964,P20711,1
17276,P20711,1
38101,P20711,1
2327,P20711,1
1051,Q2TU84,1
33032,Q2TU84,1
5960,Q2TU84,1
1051,Q53ET4,1
750,Q53ET4,1
91443,Q53ET4,1
1051,Q59FK2,1
1051,Q59GM9,1
1051,Q59HE2,1
1051,Q5JAM2,1
1051,Q5VZ30,1
1051,Q6IBS8,1
1051,Q6P996,1
1051,Q6YP21,1
33032,Q6YP21,1
1051,Q6ZQY3,1
1051,Q8IUZ5,1
5950,Q8IUZ5,1
1051,Q8IVA8,1
1051,Q8TD30,1
5950,Q8TD30,1
33032,Q8TD30,1
3675,Q8TD30,1
1051,Q96EN8,1
1051,Q96GA7,1
1051,Q9BXA1,1
1051,Q9HD40,1
1051,Q9NUV7,1
6438394,Q9NUV7,1
1051,Q9UGI5,1
3675,Q9UGI5,1
1051,Q9UJX1,1
1051,Q96I15,1
1051,Q6WRI0,1
6274,P42357,1
6274,Q99624,1
6267,Q99624,1
5961,Q99624,1
6274,P12081,1
6274,P00915,1
2315,P00915,1
3647,P00915,1
3019,P00915,1
5281855,P00915,1
2162,P00915,1
2910,P00915,1
4121,P00915,1
2343,P00915,1
2720,P00915,1
5560,P00915,1
3284,P00915,1
6307,P00915,1
745994,P00915,1
3161908,P00915,1
16122582,P00915,1
10340,P00915,1
24436,P00915,1
5284627,P00915,1
5734,P00915,1
5355,P00915,1
18794,P00915,1
68844,P00915,1
774,P00915,1
5816,P00915,1
1986,P00915,1
2732,P00915,1
10512636,P00915,1
370,P00915,1
216468,P00915,1
310360,P00915,1
4107,P00915,1
6918132,P00915,1
4100,P00915,1
69594,P00915,1
3295,P00915,1
60692,P00915,1
5284549,P00915,1
3038,P00915,1
13290219,P00915,1
6274,Q9ULX7,1
5281855,Q9ULX7,1
5734,Q9ULX7,1
68844,Q9ULX7,1
1986,Q9ULX7,1
2732,Q9ULX7,1
6918132,Q9ULX7,1
4100,Q9ULX7,1
69594,Q9ULX7,1
3295,Q9ULX7,1
60692,Q9ULX7,1
5284549,Q9ULX7,1
3038,Q9ULX7,1
13290219,Q9ULX7,1
6274,P35218,1
13195,P35218,1
5281855,P35218,1
3007,P35218,1
5734,P35218,1
68844,P35218,1
774,P35218,1
1986,P35218,1
6918132,P35218,1
4100,P35218,1
69594,P35218,1
3295,P35218,1
60692,P35218,1
5284549,P35218,1
3038,P35218,1
13290219,P35218,1
6274,P43166,1
5281855,P43166,1
5284627,P43166,1
3007,P43166,1
5734,P43166,1
5355,P43166,1
68844,P43166,1
774,P43166,1
1986,P43166,1
2732,P43166,1
216468,P43166,1
6918132,P43166,1
4100,P43166,1
69594,P43166,1
3295,P43166,1
60692,P43166,1
5284549,P43166,1
3038,P43166,1
13290219,P43166,1
6274,Q8IY34,1
73755104,Q8IY34,1
6274,Q8N697,1
73755104,Q8N697,1
6274,Q8WUX1,1
73755104,Q8WUX1,1
6083,P11309,1
68841,P11309,1
795,P11309,1
5280343,P11309,1
170018,P11309,1
11671467,P11309,1
44259,P11309,1
44462678,P11309,1
2396,P11309,1
54695768,P11309,1
3973,P11309,1
611002,P11309,1
5459373,P11309,1
46937055,P11309,1
24851688,P11309,1
24180721,P11309,1
46937117,P11309,1
24851689,P11309,1
5281701,P11309,1
1235170,P11309,1
2765355,P11309,1
10361208,P11309,1
5003498,P11309,1
67409219,P11309,1
44222958,P11309,1
24748573,P11309,1
939111,P11309,1
135398522,P11309,1
135564632,P11309,1
24795070,P11309,1
10521421,P11309,1
58423153,P11309,1
54613583,P11309,1
135747628,P11309,1
72200352,P11309,1
72200387,P11309,1
44545852,P11309,1
46179018,P11309,1
44814409,P11309,1
153999,P11309,1
6083,Q9Y478,1
11671467,Q9Y478,1
2244,Q9Y478,1
4091,Q9Y478,1
91938093,Q9Y478,1
6083,Q08828,1
5957,Q08828,1
6104,Q08828,1
47936,Q08828,1
867466,Q08828,1
444028,Q08828,1
6083,Q9NR19,1
5957,Q9NR19,1
6083,Q07343,1
170018,Q07343,1
2519,Q07343,1
1712095,Q07343,1
4740,Q07343,1
5429,Q07343,1
5311181,Q07343,1
3698,Q07343,1
449190,Q07343,1
656969,Q07343,1
168120,Q07343,1
158758,Q07343,1
656968,Q07343,1
448055,Q07343,1
9821178,Q07343,1
9999276,Q07343,1
3354,Q07343,1
1676,Q07343,1
9433,Q07343,1
3182,Q07343,1
2153,Q07343,1
5531,Q07343,1
656652,Q07343,1
11561674,Q07343,1
10450926,Q07343,1
44591583,Q07343,1
3671,Q07343,1
127928,Q07343,1
9853498,Q07343,1
5087,Q07343,1
9842556,Q07343,1
14372618,Q07343,1
64119,Q07343,1
4977,Q07343,1
91268,Q07343,1
6241,Q07343,1
23675769,Q07343,1
16218860,Q07343,1
23663537,Q07343,1
441345,Q07343,1
5362399,Q07343,1
5362397,Q07343,1
70882,Q07343,1
4680,Q07343,1
46174074,Q07343,1
6084,Q07343,1
23700081,Q07343,1
9687,Q07343,1
66601656,Q07343,1
23663967,Q07343,1
41946,Q07343,1
70881,Q07343,1
71356,Q07343,1
9578243,Q07343,1
6437861,Q07343,1
24864553,Q07343,1
151170,Q07343,1
37274,Q07343,1
9896267,Q07343,1
57855696,Q07343,1
4938,Q07343,1
166553,Q07343,1
154575,Q07343,1
449193,Q07343,1
5092,Q07343,1
6083,P33121,1
5957,P33121,1
6083,Q13131,1
5957,Q13131,1
11671467,Q13131,1
2244,Q13131,1
4091,Q13131,1
8249,Q13131,1
2468,Q13131,1
84976,Q13131,1
13266,Q13131,1
14219,Q13131,1
6083,Q9NUB1,1
5957,Q9NUB1,1
6083,O43741,1
11671467,O43741,1
2244,O43741,1
91938093,O43741,1
6083,P16220,1
5284596,P16220,1
6083,Q08499,1
DB06246,Q08499,1
2519,Q08499,1
1712095,Q08499,1
5311181,Q08499,1
656969,Q08499,1
158758,Q08499,1
448055,Q08499,1
9999276,Q08499,1
3758,Q08499,1
6603746,Q08499,1
125132,Q08499,1
5723,Q08499,1
656966,Q08499,1
215436,Q08499,1
656965,Q08499,1
3025803,Q08499,1
46937046,Q08499,1
3354,Q08499,1
